Study Location,Municipality
Eastern,Belleville
Eastern,Brockville
Eastern,Cornwall
Eastern,Hawkesbury
Eastern,Kingston
Eastern,Ottawa
Eastern,Peterborough
Eastern,Prince Edward County
Eastern,Quinte West
GTA,Aurora
GTA,Brampton
GTA,Brock
GTA,Burlington
GTA,Caledon
GTA,Clarington
GTA,East Gwillimbury
GTA,Georgina
GTA,Halton Hills
GTA,King
GTA,Markham
GTA,Milton
GTA,Mississauga
GTA,Newmarket
GTA,Oakville
GTA,Oshawa
GTA,Pickering
GTA,Richmond Hill
GTA,Toronto
GTA,Vaughan
GTA,Whitby
GTA,Whitchurch - Stouffville
GTA,Region Durham
GTA,Region Halton
GTA,Region Peel
GTA,Region York
Niagara/Hamilton,Fort Erie
Niagara/Hamilton,Grimsby
Niagara/Hamilton,Hamilton
Niagara/Hamilton,Lincoln
Niagara/Hamilton,Niagara Falls
Niagara/Hamilton,Niagara-on-the-Lake
Niagara/Hamilton,Pelham
Niagara/Hamilton,Port Colborne
Niagara/Hamilton,St. Catharines
Niagara/Hamilton,Thorold
Niagara/Hamilton,Wainfleet
Niagara/Hamilton,Welland
Niagara/Hamilton,West Lincoln
Niagara/Hamilton,Region Niagara
North,Elliot Lake
North,Espanola
North,Greater Sudbury
North,Greenstone
North,Kenora
North,North Bay
North,Parry Sound
North,Sault Ste. Marie
North,Thunder Bay
North,Timmins
Simcoe/Musk./Duff.,Barrie
Simcoe/Musk./Duff.,Bracebridge
Simcoe/Musk./Duff.,Collingwood
Simcoe/Musk./Duff.,Gravenhurst
Simcoe/Musk./Duff.,Huntsville
Simcoe/Musk./Duff.,Innisfil
Simcoe/Musk./Duff.,New Tecumseth
Simcoe/Musk./Duff.,Orangeville
Simcoe/Musk./Duff.,Orillia
Simcoe/Musk./Duff.,Springwater
Simcoe/Musk./Duff.,District Muskoka
Simcoe/Musk./Duff.,Simcoe County
Simcoe/Musk./Duff.,Dufferin County
Southwest,Brant County
Southwest,Brantford
Southwest,Brockton
Southwest,Cambridge
Southwest,Central Elgin
Southwest,Centre Wellington
Southwest,Chatham-Kent
Southwest,Erin
Southwest,Georgian Bluffs
Southwest,Grey Highlands
Southwest,Guelph
Southwest,Guelph-Eramosa
Southwest,Haldimand
Southwest,Ingersoll
Southwest,Kincardine
Southwest,Kitchener
Southwest,Kingsville
Southwest,Lakeshore
Southwest,Lambton Shores
Southwest,London
Southwest,Mapleton
Southwest,Meaford
Southwest,Middlesex Centre
Southwest,Minto
Southwest,Norfolk
Southwest,North Dumfries
Southwest,North Middlesex
Southwest,North Perth
Southwest,Owen Sound
Southwest,Puslinch
Southwest,Sarnia
Southwest,Saugeen Shores
Southwest,Southgate
Southwest,St. Marys
Southwest,St. Thomas
Southwest,Stratford
Southwest,Strathroy-Caradoc
Southwest,South Bruce Peninsula
Southwest,Tillsonburg
Southwest,Waterloo
Southwest,Wellesley
Southwest,Wellington North
Southwest,West Grey
Southwest,Wilmot
Southwest,Windsor
Southwest,Woolwich
Southwest,Region Waterloo
Southwest,Bruce County
Southwest,Wellington County
Southwest,Elgin County
Southwest,Grey County
